국가별(1),국가별(2),2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
국가별(1),국가별(2),외국인 관광객 입국자수,내국인 해외여행 출국자수,관광수지 수취액(경상 미달러),관광수지 수취액의 총수출액 대비 비율,관광수지 지출액(경상 미달러),관광수지 지출액의 총수입액 대비 비율,외국인 관광객 입국자수,내국인 해외여행 출국자수,관광수지 수취액(경상 미달러),관광수지 수취액의 총수출액 대비 비율,관광수지 지출액(경상 미달러),관광수지 지출액의 총수입액 대비 비율,외국인 관광객 입국자수,내국인 해외여행 출국자수,관광수지 수취액(경상 미달러),관광수지 수취액의 총수출액 대비 비율,관광수지 지출액(경상 미달러),관광수지 지출액의 총수입액 대비 비율
세계,소계,2339399881 (persons),1991161437 (persons),1829956003842 (current US$),7.031 (% of total exports),1412736992372 (current US$),5.727 (% of total imports),2403074088 (persons),2034431899 (persons),1863068555521 (current US$),7.361 (% of total exports),1439120572186 (current US$),6.005 (% of total imports),-,-,-,-,-,-
아시아,아프가니스탄,-,-,50000000 (current US$),3.107 (% of total exports),226000000 (current US$),2.829 (% of total imports),-,-,85000000 (current US$),5.608 (% of total exports),168000000 (current US$),2.279 (% of total imports),-,-,75000000 (current US$),5.080 (% of total exports),49000000 (current US$),0.702 (% of total imports)
아시아,아르메니아,1652000 (persons),1623000 (persons),1358000000 (current US$),27.562 (% of total exports),1335000000 (current US$),19.986 (% of total imports),1894000 (persons),1868000 (persons),1553000000 (current US$),26.802 (% of total exports),1543000000 (current US$),20.294 (% of total imports),375000 (persons),346000 (persons),303000000 (current US$),7.936 (% of total exports),330000000 (current US$),6.493 (% of total imports)
아시아,아제르바이잔,2850000 (persons),4908000 (persons),2830000000 (current US$),11.105 (% of total exports),2453000000 (current US$),13.855 (% of total imports),3170000 (persons),5568000 (persons),2004099976 (current US$),8.481 (% of total exports),1839000000 (current US$),10.383 (% of total imports),796000 (persons),1165000 (persons),340000000 (current US$),2.236 (% of total exports),439000000 (current US$),2.825 (% of total imports)
아시아,바레인,12045000 (persons),2868000 (persons),3834000000 (current US$),12.739 (% of total exports),2522000000 (current US$),9.277 (% of total imports),11061000 (persons),2950000 (persons),3860000000 (current US$),-,2637000000 (current US$),-,1909000 (persons),-,724000000 (current US$),-,-,-
아시아,방글라데시,267000 (persons),-,357000000 (current US$),0.809 (% of total exports),1207000000 (current US$),1.840 (% of total imports),323000 (persons),-,391000000 (current US$),0.870 (% of total exports),1389000000 (current US$),2.162 (% of total imports),-,-,217899994 (current US$),0.566 (% of total exports),659000000 (current US$),1.161 (% of total imports)
아시아,부탄,274000 (persons),-,121000000 (current US$),15.402 (% of total exports),79000000 (current US$),6.328 (% of total imports),316000 (persons),72000 (persons),120000000 (current US$),15.434 (% of total exports),67000000 (current US$),5.448 (% of total imports),29800 (persons),-,84000000 (current US$),10.678 (% of total exports),50000000 (current US$),4.207 (% of total imports)
아시아,브루나이,4521000 (persons),-,190000000 (current US$),2.699 (% of total exports),585000000 (current US$),10.296 (% of total imports),4449000 (persons),-,-,-,-,-,1071000 (persons),-,-,-,-,-
아시아,캄보디아,6201000 (persons),1995000 (persons),4832000000 (current US$),26.241 (% of total exports),1080000000 (current US$),4.940 (% of total imports),6611000 (persons),2038000 (persons),5312000000 (current US$),25.208 (% of total exports),1162000000 (current US$),4.554 (% of total imports),1306000 (persons),326000 (persons),1119000000 (current US$),5.515 (% of total exports),213000000 (current US$),0.922 (% of total imports)
아시아,중국,158606000 (persons),149720000 (persons),-,-,-,-,162538000 (persons),154632000 (persons),-,-,-,-,30402000 (persons),20334000 (persons),-,-,-,-
아시아,키프로스,4024000 (persons),1446000 (persons),3449000000 (current US$),18.015 (% of total exports),1569000000 (current US$),8.355 (% of total imports),4117000 (persons),1578000 (persons),3245000000 (current US$),16.360 (% of total exports),1596000000 (current US$),8.153 (% of total imports),-,-,663000000 (current US$),3.253 (% of total exports),880000000 (current US$),4.249 (% of total imports)
아시아,조지아,7203000 (persons),3698000 (persons),3518000000 (current US$),39.543 (% of total exports),960000000 (current US$),8.915 (% of total imports),7726000 (persons),3780000 (persons),3551000000 (current US$),37.199 (% of total exports),1124000000 (current US$),10.070 (% of total imports),1513000 (persons),-,586000000 (current US$),9.888 (% of total exports),292000000 (current US$),3.256 (% of total imports)
아시아,홍콩,65148000 (persons),92214000 (persons),42313000000 (current US$),6.211 (% of total exports),26498000000 (current US$),3.885 (% of total imports),55913000 (persons),94715000 (persons),32697000000 (current US$),5.069 (% of total exports),-,-,3569000 (persons),8261000 (persons),-,-,-,-
아시아,인도,17423000 (persons),26296000 (persons),29143000000 (current US$),5.427 (% of total exports),25790000000 (current US$),4.011 (% of total imports),17914000 (persons),26915000 (persons),31661000000 (current US$),5.798 (% of total exports),28595000000 (current US$),4.616 (% of total imports),-,-,13413000000 (current US$),2.767 (% of total exports),15777000000 (current US$),3.200 (% of total imports)
아시아,인도네시아,15810000 (persons),9468000 (persons),17915000000 (current US$),8.453 (% of total exports),13171000000 (current US$),6.024 (% of total imports),16107000 (persons),11689000 (persons),18405000000 (current US$),9.198 (% of total exports),14449000000 (current US$),7.075 (% of total imports),4053000 (persons),2918000 (persons),3533000000 (current US$),1.980 (% of total exports),1980000000 (current US$),1.238 (% of total imports)
아시아,이란,7295000 (persons),7243000 (persons),5252000000 (current US$),-,9271000000 (current US$),-,9107000 (persons),-,-,-,-,-,1550000 (persons),1550000 (persons),-,-,-,-
아시아,이라크,-,-,1986000000 (current US$),2.160 (% of total exports),7855000000 (current US$),13.811 (% of total imports),-,-,3593000000 (current US$),4.041 (% of total exports),10925000000 (current US$),15.114 (% of total imports),-,-,955000000 (current US$),1.886 (% of total exports),4172000000 (current US$),7.624 (% of total imports)
아시아,이스라엘,4389000 (persons),8473000 (persons),8048000000 (current US$),7.170 (% of total exports),9975000000 (current US$),9.148 (% of total imports),4905000 (persons),9179000 (persons),8459000000 (current US$),7.182 (% of total exports),10389000000 (current US$),9.550 (% of total imports),-,-,2661000000 (current US$),2.326 (% of total exports),2175000000 (current US$),2.266 (% of total imports)
아시아,일본,31191000 (persons),18954000 (persons),45276000000 (current US$),4.869 (% of total exports),28097000000 (current US$),3.026 (% of total imports),31881000 (persons),20081000 (persons),49209000000 (current US$),5.440 (% of total exports),29146000000 (current US$),3.191 (% of total imports),4115800 (persons),3174000 (persons),11395000000 (current US$),1.435 (% of total exports),6741000000 (current US$),0.841 (% of total imports)
아시아,요르단,4922000 (persons),1501000 (persons),6221000000 (current US$),41.219 (% of total exports),1493000000 (current US$),6.515 (% of total imports),5361000 (persons),1537000 (persons),6765000000 (current US$),41.836 (% of total exports),1569000000 (current US$),7.144 (% of total imports),1240000 (persons),406000 (persons),1745000000 (current US$),16.708 (% of total exports),408000000 (current US$),2.214 (% of total imports)
아시아,카자흐스탄,8789000 (persons),10646000 (persons),2651000000 (current US$),3.996 (% of total exports),2852000000 (current US$),6.059 (% of total imports),8515000 (persons),10707000 (persons),2922000000 (current US$),4.342 (% of total exports),2955000000 (current US$),5.611 (% of total imports),2035000 (persons),2865000 (persons),589000000 (current US$),1.195 (% of total exports),861000000 (current US$),1.852 (% of total imports)
아시아,대한민국,15347000 (persons),28696000 (persons),23104000000 (current US$),3.165 (% of total exports),38022000000 (current US$),5.857 (% of total imports),17503000 (persons),28714000 (persons),25456000000 (current US$),3.854 (% of total exports),35339000000 (current US$),5.817 (% of total imports),2519000 (persons),4276000 (persons),11776000000 (current US$),1.938 (% of total exports),16705000000 (current US$),3.085 (% of total imports)
아시아,쿠웨이트,8508000 (persons),-,919000000 (current US$),1.079 (% of total exports),14318000000 (current US$),20.993 (% of total imports),8565000 (persons),-,1198000000 (current US$),1.645 (% of total exports),15839000000 (current US$),26.552 (% of total imports),2161000 (persons),-,524000000 (current US$),1.105 (% of total exports),6696000000 (current US$),15.213 (% of total imports)
아시아,키르기스스탄,6947000 (persons),6839000 (persons),518000000 (current US$),18.944 (% of total exports),451000000 (current US$),7.695 (% of total imports),8508000 (persons),5314000 (persons),708000000 (current US$),22.782 (% of total exports),519000000 (current US$),9.153 (% of total imports),-,-,195000000 (current US$),8.007 (% of total exports),185000000 (current US$),4.567 (% of total imports)
아시아,라오스,4186000 (persons),3207000 (persons),833000000 (current US$),13.030 (% of total exports),1005000000 (current US$),13.287 (% of total imports),4791000 (persons),2690000 (persons),974000000 (current US$),13.944 (% of total exports),1029000000 (current US$),13.687 (% of total imports),886400 (persons),707000 (persons),227000000 (current US$),3.513 (% of total exports),260000000 (current US$),4.471 (% of total imports)
