"성별","국적별",2023.08 p),2023.08 p),2023.08 p),2023.08 p),2023.09 p),2023.09 p),2023.09 p),2023.09 p),2023.10 p),2023.10 p),2023.10 p),2023.10 p),2021,2021,2021,2021,2022,2022,2022,2022
"성별","국적별",총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동
"계","합계",87582,60740,26842,33898,66885,44573,22312,22261,55254,31787,23467,8320,483826,220571,263255,-42684,657519,412948,244571,168377
"계","아프가니스탄",27,19,8,11,11,7,4,3,8,5,3,2,615,538,77,461,171,111,60,51
"계","바레인",6,4,2,2,-,-,-,-,-,-,-,-,11,5,6,-1,8,7,1,6
"계","방글라데시",775,624,151,473,779,585,194,391,602,394,208,186,2758,1048,1710,-662,9366,7283,2083,5200
"계","부탄",5,1,4,-3,1,1,0,1,-,-,-,-,24,17,7,10,30,16,14,2
"계","브루나이",63,61,2,59,2,0,2,-2,1,0,1,-1,23,18,5,13,255,147,108,39
"계","미얀마",1974,1740,234,1506,1702,1493,209,1284,1036,649,387,262,3729,1463,2266,-803,12869,10237,2632,7605
"계","캄보디아",1951,1357,594,763,1743,1299,444,855,1964,1339,625,714,8924,4583,4341,242,17324,12004,5320,6684
"계","스리랑카",938,703,235,468,1147,991,156,835,764,541,223,318,5251,1435,3816,-2381,10845,7708,3137,4571
"계","중국",27649,18810,8839,9971,21042,14010,7032,6978,18387,12245,6142,6103,211427,94848,116579,-21731,164805,95063,69742,25321
"계","타이완",823,624,199,425,268,140,128,12,187,97,90,7,3092,1644,1448,196,3489,2050,1439,611
"계","키프러스",8,5,3,2,-,-,-,-,1,0,1,-1,21,8,13,-5,18,9,9,0
"계","홍콩",222,149,73,76,84,42,42,0,43,23,20,3,1212,621,591,30,1353,795,558,237
"계","인도",835,522,313,209,620,394,226,168,679,377,302,75,5017,2727,2290,437,7524,4510,3014,1496
"계","인도네시아",3111,2602,509,2093,1136,723,413,310,1093,734,359,375,8837,3053,5784,-2731,22850,16669,6181,10488
"계","이란",84,46,38,8,50,32,18,14,35,19,16,3,450,263,187,76,571,316,255,61
"계","이라크",31,24,7,17,20,12,8,4,14,7,7,0,360,212,148,64,332,167,165,2
"계","이스라엘",32,23,9,14,21,10,11,-1,14,9,5,4,137,64,73,-9,124,67,57,10
"계","일본",1967,1330,637,693,893,538,355,183,459,219,240,-21,10370,6139,4231,1908,12711,7177,5534,1643
"계","요르단",31,16,15,1,28,24,4,20,22,12,10,2,228,114,114,0,242,150,92,58
"계","카자흐스탄",2092,1291,801,490,1856,1301,555,746,1299,725,574,151,11513,6111,5402,709,20383,15635,4748,10887
"계","키르기스스탄",484,341,143,198,432,309,123,186,308,177,131,46,2590,1553,1037,516,4168,3056,1112,1944
"계","쿠웨이트",4,4,0,4,4,2,2,0,3,2,1,1,30,19,11,8,36,16,20,-4
"계","라오스",555,305,250,55,292,170,122,48,704,262,442,-180,529,343,186,157,1757,1310,447,863
"계","레바논",5,3,2,1,3,1,2,-1,5,3,2,1,25,13,12,1,32,11,21,-10
"계","마카오",12,8,4,4,9,8,1,7,2,0,2,-2,61,28,33,-5,49,30,19,11
"계","말레이시아",686,537,149,388,376,272,104,168,314,221,93,128,2096,753,1343,-590,3431,1927,1504,423
"계","몰디브",-,-,-,-,1,1,0,1,-,-,-,-,14,6,8,-2,2,1,1,0
"계","몽골",2041,1180,861,319,2175,1521,654,867,1037,467,570,-103,13852,3822,10030,-6208,15663,10788,4875,5913
"계","네팔",2886,2646,240,2406,1424,1106,318,788,776,411,365,46,5111,999,4112,-3113,21108,15990,5118,10872
"계","오만",9,8,1,7,1,0,1,-1,1,1,0,1,29,16,13,3,52,31,21,10
"계","파키스탄",492,361,131,230,479,340,139,201,385,191,194,-3,3111,1214,1897,-683,5538,3636,1902,1734
"계","팔레스타인",7,4,3,1,4,2,2,0,-,-,-,-,55,29,26,3,39,28,11,17
"계","필리핀",2578,1412,1166,246,2513,1128,1385,-257,2999,1169,1830,-661,6245,1847,4398,-2551,21341,13612,7729,5883
"계","티모르민주공화국",132,112,20,92,109,90,19,71,84,48,36,12,447,304,143,161,1456,1247,209,1038
"계","카타르",1,0,1,-1,-,-,-,-,3,1,2,-1,15,8,7,1,16,9,7,2
"계","사우디아라비아",149,112,37,75,42,16,26,-10,25,13,12,1,889,454,435,19,658,355,303,52
"계","싱가포르",226,197,29,168,32,19,13,6,29,14,15,-1,463,276,187,89,1012,524,488,36
"계","시리아",50,37,13,24,26,16,10,6,50,32,18,14,199,53,146,-93,592,316,276,40
"계","타지키스탄",115,64,51,13,85,53,32,21,87,56,31,25,1218,749,469,280,1526,868,658,210
